transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,2,2950,2017-02-25,0.0,Approved,1.0,1.0,1.0,1.0,71.49,53.62,1970-01-01
2,3,3120,2017-05-21,1.0,Approved,5.0,1.0,1.0,1.0,2091.47,388.92,1970-01-01
3,37,402,2017-10-16,0.0,Approved,4.0,1.0,3.0,1.0,1793.43,248.82,1970-01-01
4,88,3135,2017-08-31,0.0,Approved,6.0,1.0,1.0,1.0,1198.46,381.1,1970-01-01
5,78,787,2017-10-01,1.0,Approved,2.0,1.0,1.0,1.0,1765.3,709.48,1970-01-01
6,25,2339,2017-03-08,1.0,Approved,2.0,2.0,1.0,1.0,1538.99,829.65,1970-01-01
7,22,1542,2017-04-21,1.0,Approved,3.0,1.0,1.0,1.0,60.34,45.26,1970-01-01
8,15,2459,2017-07-15,0.0,Approved,3.0,1.0,1.0,1.0,1292.84,13.44,1970-01-01
9,67,1305,2017-08-10,0.0,Approved,1.0,1.0,1.0,1.0,1071.23,380.74,1970-01-01
10,12,3262,2017-08-30,1.0,Approved,3.0,1.0,1.0,1.0,1231.15,161.6,1970-01-01
11,5,1986,2017-01-17,0.0,Approved,5.0,4.0,3.0,1.0,574.64,459.71,1970-01-01
12,61,2783,2017-01-05,1.0,Approved,4.0,1.0,3.0,1.0,71.16,56.93,1970-01-01
13,35,1243,2017-02-26,1.0,Approved,5.0,1.0,3.0,1.0,1057.51,154.4,1970-01-01
14,16,2717,2017-09-10,0.0,Approved,6.0,1.0,2.0,1.0,1661.92,1479.11,1970-01-01
15,12,247,2017-06-11,0.0,Approved,2.0,1.0,1.0,1.0,1765.3,709.48,1970-01-01
16,3,2961,2017-10-10,0.0,Approved,5.0,1.0,1.0,1.0,2091.47,388.92,1970-01-01
17,79,2426,2017-04-03,0.0,Approved,6.0,1.0,1.0,1.0,1555.58,818.01,1970-01-01
18,33,1842,2017-06-02,0.0,Approved,2.0,1.0,1.0,1.0,1311.44,1167.18,1970-01-01
19,54,2268,2017-04-06,1.0,Approved,3.0,1.0,1.0,1.0,1292.84,13.44,1970-01-01
20,25,3002,2017-01-28,1.0,Approved,2.0,2.0,1.0,1.0,1538.99,829.65,1970-01-01
21,27,1582,2017-10-09,0.0,Approved,5.0,1.0,1.0,1.0,499.53,388.72,1970-01-01
22,37,595,2017-06-29,1.0,Approved,4.0,1.0,3.0,1.0,1793.43,248.82,1970-01-01
23,37,2001,2017-04-08,1.0,Approved,4.0,1.0,3.0,1.0,1793.43,248.82,1970-01-01
24,82,515,2017-10-18,0.0,Approved,2.0,2.0,1.0,1.0,1538.99,829.65,1970-01-01
25,89,2822,2017-06-11,0.0,Approved,3.0,3.0,1.0,1.0,1362.99,57.74,1970-01-01
26,64,2596,2017-01-10,0.0,Approved,5.0,1.0,1.0,1.0,1469.44,596.55,1970-01-01
27,64,2666,2017-04-11,1.0,Approved,5.0,1.0,1.0,1.0,1469.44,596.55,1970-01-01
28,19,76,2017-12-23,0.0,Approved,5.0,4.0,3.0,1.0,574.64,459.71,1970-01-01
29,72,3368,2017-10-13,1.0,Approved,6.0,1.0,1.0,1.0,360.4,270.3,1970-01-01
30,91,1173,2017-03-15,0.0,Approved,3.0,1.0,3.0,1.0,642.31,513.85,1970-01-01
31,88,2810,2017-09-05,1.0,Approved,6.0,1.0,1.0,1.0,1198.46,381.1,1970-01-01
32,1,3214,2017-02-18,0.0,Approved,2.0,1.0,1.0,1.0,1403.5,954.82,1970-01-01
33,25,1272,2017-03-20,0.0,Approved,2.0,2.0,1.0,1.0,1538.99,829.65,1970-01-01
34,99,2003,2017-02-28,1.0,Approved,5.0,2.0,3.0,1.0,1720.7,1531.42,1970-01-01
35,0,2171,2017-08-20,0.0,Approved,6.0,2.0,1.0,1.0,544.05,376.84,1970-01-01
36,92,3356,2017-07-07,0.0,Approved,3.0,1.0,1.0,1.0,1415.01,1259.36,1970-01-01
37,14,1040,2017-01-09,0.0,Approved,1.0,1.0,2.0,1.0,1842.92,1105.75,1970-01-01
38,2,2916,2017-12-06,0.0,Approved,1.0,1.0,1.0,1.0,71.49,53.62,1970-01-01
39,12,427,2017-09-12,0.0,Approved,3.0,1.0,1.0,1.0,1231.15,161.6,1970-01-01
40,0,2448,2017-11-28,1.0,Approved,6.0,2.0,1.0,1.0,544.05,376.84,1970-01-01
41,44,2570,2017-05-08,1.0,Approved,3.0,1.0,1.0,1.0,1769.64,108.76,1970-01-01
42,79,3398,2017-05-14,0.0,Approved,1.0,3.0,1.0,1.0,2083.94,675.03,1970-01-01
43,76,488,2017-03-17,0.0,Cancelled,3.0,1.0,3.0,1.0,642.31,513.85,1970-01-01
44,46,165,2017-12-22,0.0,Approved,1.0,1.0,3.0,1.0,1289.85,74.51,1970-01-01
45,55,2787,2017-06-07,1.0,Approved,5.0,2.0,1.0,1.0,1894.19,598.76,1970-01-01
46,66,3053,2017-06-20,0.0,Approved,1.0,1.0,1.0,1.0,1163.89,589.27,1970-01-01
47,35,475,2017-05-07,1.0,Approved,5.0,1.0,3.0,1.0,1057.51,154.4,1970-01-01
48,81,1305,2017-06-10,1.0,Approved,1.0,1.0,1.0,1.0,1151.96,649.49,1970-01-01
49,86,1251,2017-06-17,0.0,Approved,4.0,1.0,1.0,1.0,235.63,125.07,1970-01-01
50,32,3103,2017-05-10,0.0,Approved,2.0,1.0,1.0,1.0,642.7,211.37,1970-01-01
51,77,3108,2017-03-24,0.0,Approved,6.0,2.0,1.0,1.0,1240.31,795.1,1970-01-01
52,96,857,2017-11-27,0.0,Approved,2.0,1.0,1.0,1.0,1635.3,993.66,1970-01-01
53,6,3455,2017-12-21,1.0,Approved,4.0,1.0,2.0,1.0,227.88,136.73,1970-01-01
54,27,2549,2017-02-09,1.0,Approved,5.0,1.0,1.0,1.0,499.53,388.72,1970-01-01
55,0,3140,2017-09-18,0.0,Approved,6.0,1.0,3.0,1.0,363.01,290.41,1970-01-01
56,47,3406,2017-11-14,0.0,Approved,5.0,2.0,3.0,1.0,1720.7,1531.42,1970-01-01
57,94,2294,2017-08-30,1.0,Approved,2.0,1.0,1.0,1.0,1635.3,993.66,1970-01-01
58,91,1031,2017-11-14,0.0,Approved,1.0,1.0,1.0,1.0,100.35,75.26,1970-01-01
59,93,993,2017-02-15,1.0,Approved,4.0,1.0,2.0,1.0,1458.17,874.9,1970-01-01
60,60,3473,2017-12-18,0.0,Approved,2.0,1.0,2.0,1.0,1977.36,1759.85,1970-01-01
61,0,1839,2017-02-24,0.0,Approved,4.0,2.0,2.0,1.0,12.01,7.21,1970-01-01
62,33,1824,2017-12-18,1.0,Approved,2.0,1.0,1.0,1.0,1311.44,1167.18,1970-01-01
63,35,368,2017-12-17,0.0,Approved,2.0,1.0,1.0,1.0,1403.5,954.82,1970-01-01
64,0,2000,2017-07-08,0.0,Approved,5.0,1.0,1.0,1.0,499.53,388.72,1970-01-01
65,28,825,2017-05-16,1.0,Approved,6.0,1.0,1.0,1.0,1216.14,1082.36,1970-01-01
66,86,3315,2017-02-23,1.0,Approved,4.0,1.0,1.0,1.0,235.63,125.07,1970-01-01
67,2,75,2017-07-03,1.0,Approved,1.0,1.0,1.0,1.0,71.49,53.62,1970-01-01
